,discharge,quality
2014-09-15,30.6,A
2014-09-16,29.9,A
2014-09-17,29.4,A
2014-09-18,71.3,A
2014-09-19,126.0,A
2014-09-20,88.5,A
2014-09-21,75.9,A
2014-09-22,77.1,A
2014-09-23,65.8,A
2014-09-24,56.3,A
2014-09-25,50.5,A
2014-09-26,46.0,A
2014-09-27,42.7,A
2014-09-28,39.9,A
2014-09-29,37.9,A
2014-09-30,35.9,A
2014-10-01,34.6,A
2014-10-02,43.6,A
2014-10-03,99.7,A
2014-10-04,72.7,A
2014-10-05,57.1,A
2014-10-06,50.4,A
2014-10-07,46.1,A
2014-10-08,42.7,A
2014-10-09,40.5,A
2014-10-10,525.0,A
2014-10-11,640.0,A
2014-10-12,404.0,A
2014-10-13,1770.0,A
2014-10-14,1270.0,A
2014-10-15,637.0,A
2014-10-16,418.0,A
2014-10-17,308.0,A
2014-10-18,242.0,A
2014-10-19,197.0,A
2014-10-20,167.0,A
2014-10-21,147.0,A
2014-10-22,131.0,A
2014-10-23,121.0,A
2014-10-24,116.0,A
2014-10-25,108.0,A
2014-10-26,99.1,A
2014-10-27,94.1,A
2014-10-28,90.6,A
2014-10-29,85.9,A
2014-10-30,82.0,A
2014-10-31,76.6,A
2014-11-01,71.8,A
2014-11-02,68.0,A
2014-11-03,65.1,A
2014-11-04,80.1,A
2014-11-05,96.4,A
2014-11-06,98.7,A
2014-11-07,93.1,A
2014-11-08,88.6,A
2014-11-09,82.9,A
2014-11-10,79.0,A
2014-11-11,75.9,A
2014-11-12,67.7,A
2014-11-13,65.0,A
2014-11-14,62.6,A
2014-11-15,59.2,A
2014-11-16,58.6,A
2014-11-17,57.4,A
2014-11-18,57.1,A
2014-11-19,55.7,A
2014-11-20,54.6,A
2014-11-21,53.8,A
2014-11-22,53.5,A
2014-11-23,61.6,A
2014-11-24,70.1,A
2014-11-25,83.4,A
2014-11-26,80.9,A
2014-11-27,79.6,A
2014-11-28,76.6,A
2014-11-29,75.4,A
2014-11-30,73.5,A
2014-12-01,69.3,A
2014-12-02,66.4,A
2014-12-03,65.0,A
2014-12-04,63.5,A
2014-12-05,63.6,A
2014-12-06,74.7,A
2014-12-07,79.9,A
2014-12-08,81.3,A
2014-12-09,80.8,A
2014-12-10,79.6,A
2014-12-11,78.6,A
2014-12-12,76.9,A
2014-12-13,74.5,A
2014-12-14,73.9,A
2014-12-15,155.0,A
2014-12-16,207.0,A
2014-12-17,182.0,A
2014-12-18,208.0,A
2014-12-19,218.0,A
2014-12-20,206.0,A
2014-12-21,191.0,A
2014-12-22,183.0,A
2014-12-23,176.0,A
2014-12-24,166.0,A
2014-12-25,153.0,A
2014-12-26,145.0,A
2014-12-27,144.0,A
2014-12-28,144.0,A
2014-12-29,142.0,A
2014-12-30,137.0,A
2014-12-31,131.0,A
2015-01-01,127.0,A
2015-01-02,124.0,A
2015-01-03,140.0,A
2015-01-04,186.0,A
2015-01-05,184.0,A
2015-01-06,177.0,A
2015-01-07,169.0,A
2015-01-08,152.0,A
2015-01-09,146.0,A
2015-01-10,138.0,A
2015-01-11,134.0,A
2015-01-12,131.0,A
2015-01-13,125.0,A
2015-01-14,119.0,A
2015-01-15,114.0,A
2015-01-16,109.0,A
2015-01-17,105.0,A
2015-01-18,101.0,A
2015-01-19,97.9,A
2015-01-20,92.7,A
2015-01-21,89.2,A
2015-01-22,86.0,A
2015-01-23,85.2,A
2015-01-24,81.8,A
2015-01-25,78.9,A
2015-01-26,78.0,A
2015-01-27,76.8,A
2015-01-28,75.1,A
2015-01-29,75.8,A
2015-01-30,74.7,A
2015-01-31,73.5,A
2015-02-01,76.6,A
2015-02-02,78.4,A
2015-02-03,77.3,A
2015-02-04,76.4,A
2015-02-05,75.7,A
2015-02-06,73.9,A
2015-02-07,73.1,A
2015-02-08,73.2,A
2015-02-09,71.8,A
2015-02-10,69.9,A
2015-02-11,69.9,A
2015-02-12,69.7,A
2015-02-13,68.4,A
2015-02-14,67.8,A
2015-02-15,66.8,A
2015-02-16,73.3,A
2015-02-17,71.5,A
2015-02-18,70.4,A
2015-02-19,69.0,A
2015-02-20,67.0,A
2015-02-21,87.4,A
2015-02-22,182.0,A
2015-02-23,222.0,A
2015-02-24,206.0,A
2015-02-25,190.0,A
2015-02-26,177.0,A
2015-02-27,163.0,A
2015-02-28,157.0,A
2015-03-01,152.0,A
2015-03-02,146.0,A
2015-03-03,142.0,A
2015-03-04,152.0,A
2015-03-05,169.0,A
2015-03-06,181.0,A
2015-03-07,194.0,A
2015-03-08,196.0,A
2015-03-09,195.0,A
2015-03-10,214.0,A
2015-03-11,231.0,A
2015-03-12,231.0,A
2015-03-13,239.0,A
2015-03-14,1180.0,A
2015-03-15,886.0,A
2015-03-16,599.0,A
2015-03-17,456.0,A
2015-03-18,411.0,A
2015-03-19,460.0,A
2015-03-20,429.0,A
2015-03-21,392.0,A
2015-03-22,355.0,A
2015-03-23,319.0,A
2015-03-24,291.0,A
2015-03-25,329.0,A
2015-03-26,2870.0,A
2015-03-27,1250.0,A
2015-03-28,791.0,A
2015-03-29,598.0,A
2015-03-30,492.0,A
2015-03-31,427.0,A
2015-04-01,383.0,A
2015-04-02,347.0,A
2015-04-03,530.0,A
2015-04-04,399.0,A
2015-04-05,349.0,A
2015-04-06,324.0,A
2015-04-07,297.0,A
2015-04-08,271.0,A
2015-04-09,249.0,A
2015-04-10,238.0,A
2015-04-11,222.0,A
2015-04-12,209.0,A
2015-04-13,202.0,A
2015-04-14,208.0,A
2015-04-15,204.0,A
2015-04-16,202.0,A
2015-04-17,211.0,A
2015-04-18,1550.0,A
2015-04-19,937.0,A
2015-04-20,580.0,A
2015-04-21,429.0,A
2015-04-22,376.0,A
2015-04-23,336.0,A
2015-04-24,325.0,A
2015-04-25,325.0,A
2015-04-26,286.0,A
2015-04-27,255.0,A
2015-04-28,235.0,A
2015-04-29,222.0,A
2015-04-30,210.0,A
2015-05-01,195.0,A
2015-05-02,186.0,A
2015-05-03,180.0,A
2015-05-04,172.0,A
2015-05-05,163.0,A
2015-05-06,184.0,A
2015-05-07,249.0,A
2015-05-08,248.0,A
2015-05-09,380.0,A
2015-05-10,553.0,A
2015-05-11,923.0,A
2015-05-12,777.0,A
2015-05-13,574.0,A
2015-05-14,467.0,A
2015-05-15,396.0,A
2015-05-16,341.0,A
2015-05-17,373.0,A
2015-05-18,363.0,A
2015-05-19,395.0,A
2015-05-20,377.0,A
2015-05-21,365.0,A
2015-05-22,336.0,A
2015-05-23,317.0,A
2015-05-24,2610.0,A
2015-05-25,2520.0,A
2015-05-26,1280.0,A
2015-05-27,868.0,A
2015-05-28,723.0,A
2015-05-29,976.0,A
2015-05-30,2230.0,A
2015-05-31,1330.0,A
2015-06-01,892.0,A
2015-06-02,651.0,A
2015-06-03,563.0,A
2015-06-04,499.0,A
2015-06-05,448.0,A
2015-06-06,411.0,A
2015-06-07,382.0,A
2015-06-08,356.0,A
2015-06-09,331.0,A
2015-06-10,310.0,A
2015-06-11,293.0,A
2015-06-12,280.0,A
2015-06-13,269.0,A
